Iteration_Number  Configuration  Energy  Contact_count
1 rrrrrrrr 0 0
2 rrrrrrru 0 0
3 rrrrrrrd 0 0
4 rrrrrrdr 0 0
5 rrrrrrdr 0 0
6 urrrrrdr 0 0
7 rrrrrrdr 0 0
8 rrrrrrdd 0 0
9 rrrrrrdd 0 0
10 drrrrrdd 0 0
11 drrrrrdl -3.5 1
12 rrrrrrdl -3.5 1
13 rrrrrrdl -3.5 1
14 drrrrrdl -3.5 1
15 urrrrrdl -3.5 1
16 urrrrrdl -3.5 1
17 rurrrrdl -3.5 1
18 urrrrrdl -3.5 1
19 urrrrrdl -3.5 1
20 drrrrrdl -3.5 1
21 rdrrrrdl -3.5 1
22 rrdrrrdl -3.5 1
23 rrrdrrdl -3.5 1
24 rrdrrrdl -3.5 1
25 rdrrrrdl -3.5 1
26 rrdrrrdl -3.5 1
27 drdrrrdl -3.5 1
28 rrdrrrdl -3.5 1
29 rrdrrdru -3.5 1
30 rdrrrdru -3.5 1
31 drrrrdru -3.5 1
32 drrrrdru -3.5 1
33 drrrrdru -3.5 1
34 urrrrdru -3.5 1
35 rurrrdru -3.5 1
36 rurrrrdl -3.5 1
37 rurrrrdd 0 0
38 rrurrrdd 0 0
39 rrurrdrd 0 0
40 rrurdrrd -2.2 1
41 ururdrrd -2.2 1
42 rrurdrrd -2.2 1
43 rrurdrdr -2.2 1
44 ururdrdr -2.2 1
45 rrurdrdr -2.2 1
46 rrurdrrd -2.2 1
47 ururdrrd -2.2 1
48 drurdrrd -2.7 2
49 drurdrrd -2.7 2
50 ururdrrd -2.2 1
51 ururdrrd -2.2 1
52 ururdrrd -2.2 1
53 ruurdrrd -2.2 1
54 ruurdrru -2.2 1
55 luurdrru -3.9 2
56 luurdrrd -3.9 2
57 luurdrrd -3.9 2
58 luurdrrr -3.9 2
59 luurdrrr -3.9 2
60 luurdrrr -3.9 2
61 luurdrrr -3.9 2
62 luurdrrr -3.9 2
63 lddrurrr -3.9 2
64 lddrurrd -3.9 2
65 lddrurrr -3.9 2
66 lddrurrr -3.9 2
67 lddrurru -3.9 2
68 lddrurur -5.8 3
69 luurdrur -5.6 3
70 luurdrur -5.6 3
71 luurdrur -5.6 3
72 lddrurur -5.8 3
73 luurdrur -5.6 3
74 luurdruu -5.6 3
75 luurdruu -5.6 3
76 luurdruu -5.6 3
77 luurdruu -5.6 3
78 luurdruu -5.6 3
79 luurdruu -5.6 3
80 luurdruu -5.6 3
81 luurdruu -5.6 3
82 uuurdruu -3.9 2
83 luurdruu -5.6 3
84 luurdrur -5.6 3
85 luurdrur -5.6 3
86 luurdrur -5.6 3
87 luurdruu -5.6 3
88 luurdrur -5.6 3
89 luurdrur -5.6 3
90 luurdrur -5.6 3
91 luurdrur -5.6 3
92 luurdrur -5.6 3
93 luurdruu -5.6 3
94 luurdruu -5.6 3
95 luurdruu -5.6 3
96 luurdruu -5.6 3
97 ruurdruu -3.9 2
98 uuurdruu -3.9 2
99 uuurdrur -3.9 2
100 ruurdrur -3.9 2
101 luurdrur -5.6 3
102 lddrurur -5.8 3
103 lddrurur -5.8 3
104 lddruruu -5.8 3
105 lddruruu -5.8 3
106 lddruruu -5.8 3
107 lddruruu -5.8 3
108 lddruruu -5.8 3
109 lddruruu -5.8 3
110 lddruruu -5.8 3
111 lddruruu -5.8 3
112 lddrurur -5.8 3
113 lddrurur -5.8 3
114 lddrurur -5.8 3
115 lddrurur -5.8 3
116 lddrurur -5.8 3
117 luurdrur -5.6 3
118 luurdrur -5.6 3
119 lddrurur -5.8 3
120 lddrurur -5.8 3
121 luurdrur -5.6 3
122 uuurdrur -3.9 2
123 ruurdrur -3.9 2
124 ururdrur -3.9 2
125 ururdrur -3.9 2
126 ururdrur -3.9 2
127 rrurdrur -3.9 2
128 ururdrur -3.9 2
129 ururdrur -3.9 2
130 ruurdrur -3.9 2
131 ururdrur -3.9 2
132 drurdrur -4.4 3
133 drurdrur -4.4 3
134 drurdruu -4.4 3
135 rrurdruu -3.9 2
136 ururdruu -3.9 2
137 ururdrur -3.9 2
138 ururdrur -3.9 2
139 rrurdrur -3.9 2
140 rrurdrur -3.9 2
141 rrurdruu -3.9 2
142 drurdruu -4.4 3
143 drurdruu -4.4 3
144 drurdrur -4.4 3
145 rrurdrur -3.9 2
146 rrurdruu -3.9 2
147 ururdruu -3.9 2
148 drurdruu -4.4 3
149 rrurdruu -3.9 2
150 rrurdruu -3.9 2
151 drurdruu -4.4 3
152 drurdruu -4.4 3
153 drurdrur -4.4 3
154 drurdrru -2.7 2
155 drurrdru -3.9 2
156 lurrrdru -3.9 2
157 lurrrrdl -3.9 2
158 lurrrrdl -3.9 2
159 drurrrdl -3.9 2
160 drurrrdl -3.9 2
161 drurrrdl -3.9 2
162 drurrdru -3.9 2
163 lurrrdru -3.9 2
164 drurrdru -3.9 2
165 lurrrdru -3.9 2
166 lurrrrdl -3.9 2
167 lurrrrdl -3.9 2
168 lurrrrdl -3.9 2
169 lurrrdru -3.9 2
170 lurrrdru -3.9 2
171 lurrrdru -3.9 2
172 lurrrdru -3.9 2
173 lurrrdru -3.9 2
174 lurrrdru -3.9 2
175 lurrrdru -3.9 2
176 lurrrdru -3.9 2
177 lurrrrdl -3.9 2
178 uurrrrdl -3.5 1
179 ururrrdl -3.5 1
180 urrurrdl -6 2
181 rrrurrdl -6 2
182 rrrurrdl -6 2
183 rrrurrdl -6 2
184 rrrurrdl -6 2
185 rrrurrdl -6 2
186 rrrurrdl -6 2
187 urrurrdl -6 2
188 rrrurrdl -6 2
189 rrrurrdl -6 2
190 rrrurrdl -6 2
191 rrrurrdl -6 2
192 rrrurdru -5.3 2
193 rrrurdru -5.3 2
194 drrurdru -5.3 2
195 rdrurdru -6.3 3
196 rdrurrdl -7.1 3
197 rdrurdru -6.3 3
198 rdrurdru -6.3 3
199 ddrurdru -6.3 3
200 rdrurdru -6.3 3
201 ddrurdru -6.3 3
202 ddrurdru -6.3 3
203 ddrurdru -6.3 3
204 rdrurdru -6.3 3
205 rdrurrdl -7.1 3
206 rdrurrdl -7.1 3
207 rdrurrdl -7.1 3
208 rdrurrdl -7.1 3
209 rdrurrdl -7.1 3
210 rdrrrull -6.3 3
211 ddrrrull -6.3 3
212 ddrrrull -6.3 3
213 ddrrrull -6.3 3
214 ddrurrdl -7.1 3
215 ddrurdru -6.3 3
216 ddrurdru -6.3 3
217 rdrurdru -6.3 3
218 rdrurdru -6.3 3
219 rdrurdru -6.3 3
220 rdrurdru -6.3 3
221 rdrurdru -6.3 3
222 ddrurdru -6.3 3
223 ddrurdru -6.3 3
224 ddrurdru -6.3 3
225 ddrurdru -6.3 3
226 ddrurdru -6.3 3
227 ddrurdru -6.3 3
228 ddrurrdl -7.1 3
229 ddrrrull -6.3 3
230 ddrrrull -6.3 3
231 drrrdlll -5.9 3
232 ddrrrull -6.3 3
233 ddrurrdl -7.1 3
234 ddrurdru -6.3 3
235 rdrurdru -6.3 3
236 rdrurdru -6.3 3
237 rdrurdru -6.3 3
238 rdrurdru -6.3 3
239 rdrurdru -6.3 3
240 rdrurdru -6.3 3
241 rdrurrdl -7.1 3
242 rdrurrdl -7.1 3
243 rdrurrdl -7.1 3
244 ddrurrdl -7.1 3
245 ddrurrdl -7.1 3
246 ddrrrull -6.3 3
247 ddrrrull -6.3 3
248 ddrrrull -6.3 3
249 ddrrrull -6.3 3
250 ddrurrdl -7.1 3
251 ddrurdru -6.3 3
252 rdrurdru -6.3 3
253 rdrurdru -6.3 3
254 rdrurdru -6.3 3
255 rdrurrdl -7.1 3
256 ddrurrdl -7.1 3
257 ddrrrull -6.3 3
258 drrrdlll -5.9 3
259 drrrdlll -5.9 3
260 rrrrdlll -5.9 3
261 rrrrdlld -3.8 2
262 drrrdlld -3.8 2
263 rrrrdlld -3.8 2
264 rrrrdlld -3.8 2
265 rrrrdlld -3.8 2
266 rrrrdlld -3.8 2
267 rrrrdlld -3.8 2
268 rrrrdlll -5.9 3
269 rrrrdlll -5.9 3
270 rrrrdlll -5.9 3
271 rdrrrull -6.3 3
272 rdrurrdl -7.1 3
273 rdrurrdl -7.1 3
274 ddrurrdl -7.1 3
275 ddrurrdl -7.1 3
276 ddrurrdl -7.1 3
277 ddrurrdl -7.1 3
278 ddrurdru -6.3 3
279 rdrurdru -6.3 3
280 rdrurdru -6.3 3
281 rdrurdru -6.3 3
282 ddrurdru -6.3 3
283 ddrurrdl -7.1 3
284 ddrurrdl -7.1 3
285 ddrurrdl -7.1 3
286 ddrurrdl -7.1 3
287 rdrurrdl -7.1 3
288 ddrurrdl -7.1 3
289 rdrurrdl -7.1 3
290 rdrurrdl -7.1 3
291 rdrurrdl -7.1 3
292 rdrurrdl -7.1 3
293 rdrurrdl -7.1 3
294 rdrurdru -6.3 3
295 ddrurdru -6.3 3
296 ddrurrdl -7.1 3
297 ddrurrdl -7.1 3
298 ddrurrdl -7.1 3
299 ddrurrdl -7.1 3
300 ddrurrdl -7.1 3
301 ddrurrdl -7.1 3
302 ddrurrdl -7.1 3
