Iteration_Number  Configuration  Energy  Contact_count
718 ddrrulurrdd -16.8 6
719 ddrrulurrdd -16.8 6
720 ddrrulurrdd -16.8 6
721 ddrrulurrdd -16.8 6
722 ddrrulurrdd -16.8 6
723 ddrrulurrdd -16.8 6
724 ddrrulurrdd -16.8 6
725 ddrrulurrdd -16.8 6
726 ddrrulurrdd -16.8 6
727 ddrrulurrdd -16.8 6
728 ddrrulurrdd -16.8 6
729 ddrrulurrdd -16.8 6
730 ddrrulurrdd -16.8 6
731 ddrrulurrdd -16.8 6
732 ddrrulurrdd -16.8 6
733 ddrrulurrdd -16.8 6
734 ddrrulurrdd -16.8 6
735 ddrrulurrdd -16.8 6
736 ddrrulurrdd -16.8 6
737 ddrrulurrdd -16.8 6
738 ddrrulurrdd -16.8 6
739 ddrrulurrdd -16.8 6
740 ddrrulurrdd -16.8 6
741 ddrrulurrdd -16.8 6
746 ddrrulurrdd -16.8 6
747 ddrrulurrdd -16.8 6
748 ddrrulurrdd -16.8 6
749 ddrrulurrdd -16.8 6
750 ddrrulurrdd -16.8 6
751 ddrrulurrdd -16.8 6
752 ddrrulurrdd -16.8 6
753 ddrrulurrdd -16.8 6
754 ddrrulurrdd -16.8 6
755 ddrrulurrdd -16.8 6
765 ddrrulurrdd -16.8 6
766 ddrrulurrdd -16.8 6
767 ddrrulurrdd -16.8 6
768 ddrrulurrdd -16.8 6
769 ddrrulurrdd -16.8 6
770 ddrrulurrdd -16.8 6
771 ddrrulurrdd -16.8 6
772 ddrrulurrdd -16.8 6
773 ddrrulurrdd -16.8 6
774 ddrrulurrdd -16.8 6
775 ddrrulurrdd -16.8 6
776 ddrrulurrdd -16.8 6
777 ddrrulurrdd -16.8 6
778 ddrrulurrdd -16.8 6
779 ddrrulurrdd -16.8 6
780 ddrrulurrdd -16.8 6
781 ddrrulurrdd -16.8 6
782 ddrrulurrdd -16.8 6
783 ddrrulurrdd -16.8 6
784 ddrrulurrdd -16.8 6
785 ddrrulurrdd -16.8 6
786 ddrrulurrdd -16.8 6
787 ddrrulurrdd -16.8 6
788 ddrrulurrdd -16.8 6
789 ddrrulurrdd -16.8 6
790 ddrrulurrdd -16.8 6
791 ddrrulurrdd -16.8 6
792 ddrrulurrdd -16.8 6
793 ddrrulurrdd -16.8 6
794 ddrrulurrdd -16.8 6
795 ddrrulurrdd -16.8 6
796 ddrrulurrdd -16.8 6
802 ddrrulurrdd -16.8 6
803 ddrrulurrdd -16.8 6
806 ddrrulurrdd -16.8 6
807 ddrrulurrdd -16.8 6
808 ddrrulurrdd -16.8 6
809 ddrrulurrdd -16.8 6
810 ddrrulurrdd -16.8 6
811 ddrrulurrdd -16.8 6
812 ddrrulurrdd -16.8 6
813 ddrrulurrdd -16.8 6
814 ddrrulurrdd -16.8 6
815 ddrrulurrdd -16.8 6
816 ddrrulurrdd -16.8 6
817 ddrrulurrdd -16.8 6
818 ddrrulurrdd -16.8 6
819 ddrrulurrdd -16.8 6
820 ddrrulurrdd -16.8 6
821 ddrrulurrdd -16.8 6
822 ddrrulurrdd -16.8 6
823 ddrrulurrdd -16.8 6
824 ddrrulurrdd -16.8 6
825 ddrrulurrdd -16.8 6
826 ddrrulurrdd -16.8 6
827 ddrrulurrdd -16.8 6
830 ddrrulurrdd -16.8 6
831 ddrrulurrdd -16.8 6
832 ddrrulurrdd -16.8 6
833 ddrrulurrdd -16.8 6
834 ddrrulurrdd -16.8 6
835 ddrrulurrdd -16.8 6
836 ddrrulurrdd -16.8 6
837 ddrrulurrdd -16.8 6
838 ddrrulurrdd -16.8 6
839 ddrrulurrdd -16.8 6
840 ddrrulurrdd -16.8 6
841 ddrrulurrdd -16.8 6
842 ddrrulurrdd -16.8 6
843 ddrrulurrdd -16.8 6
844 ddrrulurrdd -16.8 6
845 ddrrulurrdd -16.8 6
847 ddrrulurrdd -16.8 6
848 ddrrulurrdd -16.8 6
849 ddrrulurrdd -16.8 6
851 ddrrulurrdd -16.8 6
853 ddrrulurrdd -16.8 6
854 ddrrulurrdd -16.8 6
855 ddrrulurrdd -16.8 6
856 ddrrulurrdd -16.8 6
857 ddrrulurrdd -16.8 6
858 ddrrulurrdd -16.8 6
859 ddrrulurrdd -16.8 6
860 ddrrulurrdd -16.8 6
861 ddrrulurrdd -16.8 6
862 ddrrulurrdd -16.8 6
863 ddrrulurrdd -16.8 6
864 ddrrulurrdd -16.8 6
865 ddrrulurrdd -16.8 6
866 ddrrulurrdd -16.8 6
867 ddrrulurrdd -16.8 6
868 ddrrulurrdd -16.8 6
869 ddrrulurrdd -16.8 6
870 ddrrulurrdd -16.8 6
871 ddrrulurrdd -16.8 6
872 ddrrulurrdd -16.8 6
873 ddrrulurrdd -16.8 6
874 ddrrulurrdd -16.8 6
875 ddrrulurrdd -16.8 6
876 ddrrulurrdd -16.8 6
877 ddrrulurrdd -16.8 6
878 ddrrulurrdd -16.8 6
879 ddrrulurrdd -16.8 6
880 ddrrulurrdd -16.8 6
881 ddrrulurrdd -16.8 6
882 ddrrulurrdd -16.8 6
883 ddrrulurrdd -16.8 6
884 ddrrulurrdd -16.8 6
885 ddrrulurrdd -16.8 6
886 ddrrulurrdd -16.8 6
887 ddrrulurrdd -16.8 6
888 ddrrulurrdd -16.8 6
889 ddrrulurrdd -16.8 6
890 ddrrulurrdd -16.8 6
893 ddrrulurrdd -16.8 6
894 ddrrulurrdd -16.8 6
895 ddrrulurrdd -16.8 6
896 ddrrulurrdd -16.8 6
897 ddrrulurrdd -16.8 6
898 ddrrulurrdd -16.8 6
899 ddrrulurrdd -16.8 6
900 ddrrulurrdd -16.8 6
901 ddrrulurrdd -16.8 6
902 ddrrulurrdd -16.8 6
903 ddrrulurrdd -16.8 6
904 ddrrulurrdd -16.8 6
905 ddrrulurrdd -16.8 6
906 ddrrulurrdd -16.8 6
907 ddrrulurrdd -16.8 6
908 ddrrulurrdd -16.8 6
909 ddrrulurrdd -16.8 6
910 ddrrulurrdd -16.8 6
911 ddrrulurrdd -16.8 6
912 ddrrulurrdd -16.8 6
913 ddrrulurrdd -16.8 6
914 ddrrulurrdd -16.8 6
915 ddrrulurrdd -16.8 6
916 ddrrulurrdd -16.8 6
917 ddrrulurrdd -16.8 6
918 ddrrulurrdd -16.8 6
919 ddrrulurrdd -16.8 6
920 ddrrulurrdd -16.8 6
921 ddrrulurrdd -16.8 6
922 ddrrulurrdd -16.8 6
923 ddrrulurrdd -16.8 6
924 ddrrulurrdd -16.8 6
925 ddrrulurrdd -16.8 6
926 ddrrulurrdd -16.8 6
927 ddrrulurrdd -16.8 6
928 ddrrulurrdd -16.8 6
934 ddrrulurrdd -16.8 6
935 ddrrulurrdd -16.8 6
936 ddrrulurrdd -16.8 6
937 ddrrulurrdd -16.8 6
938 ddrrulurrdd -16.8 6
939 ddrrulurrdd -16.8 6
940 ddrrulurrdd -16.8 6
941 ddrrulurrdd -16.8 6
942 ddrrulurrdd -16.8 6
943 ddrrulurrdd -16.8 6
944 ddrrulurrdd -16.8 6
945 ddrrulurrdd -16.8 6
946 ddrrulurrdd -16.8 6
947 ddrrulurrdd -16.8 6
948 ddrrulurrdd -16.8 6
949 ddrrulurrdd -16.8 6
950 ddrrulurrdd -16.8 6
951 ddrrulurrdd -16.8 6
952 ddrrulurrdd -16.8 6
953 ddrrulurrdd -16.8 6
954 ddrrulurrdd -16.8 6
955 ddrrulurrdd -16.8 6
956 ddrrulurrdd -16.8 6
957 ddrrulurrdd -16.8 6
958 ddrrulurrdd -16.8 6
959 ddrrulurrdd -16.8 6
960 ddrrulurrdd -16.8 6
961 ddrrulurrdd -16.8 6
962 ddrrulurrdd -16.8 6
963 ddrrulurrdd -16.8 6
964 ddrrulurrdd -16.8 6
965 ddrrulurrdd -16.8 6
967 ddrrulurrdd -16.8 6
968 ddrrulurrdd -16.8 6
969 ddrrulurrdd -16.8 6
970 ddrrulurrdd -16.8 6
971 ddrrulurrdd -16.8 6
972 ddrrulurrdd -16.8 6
973 ddrrulurrdd -16.8 6
974 ddrrulurrdd -16.8 6
975 ddrrulurrdd -16.8 6
976 ddrrulurrdd -16.8 6
977 ddrrulurrdd -16.8 6
978 ddrrulurrdd -16.8 6
979 ddrrulurrdd -16.8 6
980 ddrrulurrdd -16.8 6
981 ddrrulurrdd -16.8 6
982 ddrrulurrdd -16.8 6
985 ddrrulurrdd -16.8 6
986 ddrrulurrdd -16.8 6
987 ddrrulurrdd -16.8 6
988 ddrrulurrdd -16.8 6
989 ddrrulurrdd -16.8 6
990 ddrrulurrdd -16.8 6
991 ddrrulurrdd -16.8 6
992 ddrrulurrdd -16.8 6
993 ddrrulurrdd -16.8 6
994 ddrrulurrdd -16.8 6
995 ddrrulurrdd -16.8 6
996 ddrrulurrdd -16.8 6
997 ddrrulurrdd -16.8 6
998 ddrrulurrdd -16.8 6
999 ddrrulurrdd -16.8 6
1000 ddrrulurrdd -16.8 6
