Configuration contact_count
lldrrillurr 9
lldrrollurr 9
llurrilldrr 9
llurrolldrr 9
llirrdllorr 9
llirrullorr 9
llorrdllirr 9
llorrullirr 9
rrdllirrull 9
rrdllorrull 9
rrullirrdll 9
rrullorrdll 9
rrilldrroll 9
rrillurroll 9
rrolldrrill 9
rrollurrill 9
ddluuiddruu 9
ddluuoddruu 9
ddruuiddluu 9
ddruuoddluu 9
ddiuulddouu 9
ddiuurddouu 9
ddouulddiuu 9
ddouurddiuu 9
uulddiuurdd 9
uulddouurdd 9
uurddiuuldd 9
uurddouuldd 9
uuiddluuodd 9
uuiddruuodd 9
uuoddluuidd 9
uuoddruuidd 9
iiloodiiroo 9
iiloouiiroo 9
iiroodiiloo 9
iiroouiiloo 9
iidooliiuoo 9
iidooriiuoo 9
iiuooliidoo 9
iiuooriidoo 9
ooliidoorii 9
ooliiuoorii 9
ooriidoolii 9
ooriiuoolii 9
oodiiloouii 9
oodiiroouii 9
oouiiloodii 9
oouiiroodii 9
