Iteration_Number Randon_Choice Neighbour_Count
1 1 4
2 0 5
3 3 4
4 2 4
5 1 4
6 3 5
7 2 6
8 4 5
9 3 6
10 1 7
11 3 6
12 2 6
13 4 5
14 2 7
15 6 8
16 2 8
17 6 7
18 2 7
19 2 8
20 0 7
21 3 6
22 3 7
23 0 7
24 1 8
25 5 8
26 0 8
27 4 7
28 1 7
29 4 8
30 4 7
31 3 8
32 1 8
33 0 7
34 3 7
35 6 7
36 4 6
37 0 7
38 0 7
39 5 8
40 1 8
41 7 8
42 5 7
43 4 7
44 6 7
45 2 8
46 1 7
47 0 7
48 0 7
49 5 7
50 1 6
51 4 6
52 3 7
53 2 7
54 1 7
55 4 7
56 5 7
57 4 6
58 0 7
59 0 7
60 4 7
61 6 7
62 0 8
63 3 8
64 6 8
65 1 8
66 2 9
67 4 9
68 1 8
69 3 7
70 5 7
71 0 8
72 5 9
73 0 10
74 2 10
75 4 9
76 1 9
77 5 9
78 1 9
79 2 9
80 2 9
81 2 9
82 3 10
83 2 10
84 0 9
85 1 9
86 2 9
87 4 10
88 0 10
89 1 10
90 0 10
91 8 10
92 6 11
93 10 11
94 2 10
95 5 9
96 1 7
97 2 7
98 6 7
99 6 8
100 0 9
101 5 9
102 8 9
103 3 8
104 5 8
105 1 8
106 3 8
107 8 9
108 6 8
109 6 7
110 4 8
111 5 8
112 1 8
113 6 8
114 6 8
115 7 8
116 3 8
117 6 8
118 6 8
119 5 8
120 6 8
121 0 8
122 2 8
123 3 7
124 5 8
125 1 8
126 6 8
127 6 9
128 8 9
129 5 8
130 1 6
131 3 6
132 4 7
133 1 7
134 5 7
135 4 8
136 0 8
137 7 8
138 5 9
139 1 9
140 6 9
141 0 9
142 1 9
143 4 9
144 1 9
145 5 9
146 6 9
147 0 7
148 7 8
149 0 10
150 6 9
151 6 7
152 2 6
153 3 6
154 4 6
155 2 7
156 6 7
157 3 7
158 1 7
159 2 7
160 1 7
161 6 7
162 0 6
163 1 6
164 2 6
165 4 6
166 2 6
167 0 6
168 4 6
169 6 7
170 3 7
171 1 7
172 0 7
173 4 7
174 6 7
175 3 8
176 5 8
177 3 8
178 2 8
179 3 8
180 3 8
181 4 8
182 5 8
183 1 8
184 7 8
185 4 7
186 4 7
187 0 7
188 6 7
189 6 8
190 2 7
191 4 7
192 1 7
193 5 7
194 2 8
195 4 9
196 8 9
197 5 8
198 5 6
199 6 7
200 1 6
201 4 6
202 7 8
203 8 9
204 7 8
205 2 9
206 1 8
207 2 8
208 7 8
209 6 7
210 1 7
211 3 7
212 6 7
213 0 8
214 4 8
215 7 8
216 5 7
217 0 6
218 2 6
219 4 6
220 1 7
221 2 7
222 3 7
223 5 7
224 1 6
225 1 6
226 5 6
227 4 6
228 6 7
229 4 7
230 2 7
231 3 7
232 4 7
233 4 7
234 6 7
235 5 7
236 1 6
237 5 6
238 6 7
239 4 6
240 1 7
241 2 7
242 2 7
243 2 7
244 6 7
245 0 6
246 1 6
247 5 7
248 0 7
249 1 7
250 4 7
251 0 7
252 4 7
253 4 7
254 5 7
255 2 7
256 1 7
257 0 7
258 0 8
259 0 7
260 4 7
261 1 7
262 1 7
263 2 7
264 4 7
265 0 7
266 1 6
267 3 7
268 6 7
269 1 9
270 5 8
271 4 6
272 4 6
273 7 8
274 1 9
275 4 9
276 8 9
277 1 8
278 7 8
279 0 9
280 4 9
281 0 9
282 1 9
283 4 9
284 3 9
285 6 8
286 6 8
287 4 7
288 4 7
289 2 7
290 1 7
291 3 7
292 2 6
293 1 7
294 6 7
295 1 6
296 6 7
297 0 7
298 0 6
299 4 6
300 2 6
301 4 6
302 2 5
303 3 5
304 4 6
305 4 5
306 4 5
307 0 5
308 3 5
309 0 6
310 4 6
311 3 5
312 3 5
313 5 6
314 2 6
315 1 6
316 0 6
317 3 6
318 2 6
319 2 6
320 5 6
321 5 6
322 3 6
323 2 6
324 0 6
325 5 7
326 5 7
327 0 7
328 0 6
329 5 7
330 5 7
331 2 7
332 1 7
333 4 6
334 5 6
335 4 6
336 2 6
337 1 6
338 6 7
339 3 7
340 0 6
341 3 5
342 2 5
343 3 5
344 4 5
345 0 5
346 1 6
347 4 6
348 2 6
349 2 6
350 2 6
351 1 6
352 3 6
353 0 4
354 13 14
355 0 6
356 2 6
357 0 6
358 2 6
359 0 6
360 1 6
361 5 6
362 2 4
363 2 4
364 1 4
365 3 4
366 1 6
367 3 6
368 12 14
369 9 14
370 0 14
371 1 4
372 1 4
373 1 4
374 0 4
375 9 14
376 11 14
377 7 14
378 11 14
379 7 14
