Iteration_Number  Configuration  Energy  Contact_count
354 ddrurdruull -14.5 6
355 ddruurrddlu -13.8 6
356 ddruurrddlu -13.8 6
357 ddruurrddlu -13.8 6
358 ddruurrddlu -13.8 6
359 ddruurrddlu -13.8 6
360 ddruurrddlu -13.8 6
361 ddruurrddlu -13.8 6
362 ddruurrdldr -13.4 6
363 ddruurrdldr -13.4 6
364 ddruurrdldr -13.4 6
365 ddruurrdldr -13.4 6
366 ddruurrddlu -13.8 6
367 ddruurrddlu -13.8 6
368 ddrurdruull -14.5 6
369 ddrurdruull -14.5 6
370 ddrurdruull -14.5 6
375 ddrurdruull -14.5 6
376 ddrurdruull -14.5 6
377 llddrurdruu -14.7 6
378 llddrurdruu -14.7 6
379 llddrurdruu -14.7 6
380 llddrurdruu -14.7 6
381 llddrurdruu -14.7 6
382 llddrurdruu -14.7 6
383 llddrurdruu -14.7 6
384 llddrurdruu -14.7 6
385 llddrurdruu -14.7 6
386 llddrurdruu -14.7 6
387 llddrurdruu -14.7 6
388 llddrurdruu -14.7 6
389 llddrurdruu -14.7 6
390 llddrurdruu -14.7 6
391 llddrurdruu -14.7 6
392 llddrurdruu -14.7 6
393 llddrurdruu -14.7 6
394 llddrurdruu -14.7 6
395 llddrurdruu -14.7 6
396 rdruulllddr -13.7 6
397 rdruulllddr -13.7 6
398 rdruulllddr -13.7 6
399 rddlululddr -12.2 6
400 rddlululddr -12.2 6
401 rddlululddr -12.2 6
402 rddlululddr -12.2 6
403 rddlululddr -12.2 6
404 rddlululddr -12.2 6
405 rddlululddr -12.2 6
406 rdruulllddr -13.7 6
407 rdruulllddr -13.7 6
408 rdruulllddr -13.7 6
409 rdruulllddr -13.7 6
410 rurdruullld -13.7 6
411 rurdruullld -13.7 6
412 rurdruullld -13.7 6
413 rurdruullld -13.7 6
414 rurdruullld -13.7 6
415 rurdruullld -13.7 6
416 rurdruullld -13.7 6
417 rurdruullld -13.7 6
418 rurdruullld -13.7 6
419 rurdruullld -13.7 6
420 rurdruullld -13.7 6
421 rurdruullld -13.7 6
427 rurdruullld -13.7 6
428 rdruulllddr -13.7 6
429 rdruulllddr -13.7 6
430 rdruulllddr -13.7 6
431 rdruulllddr -13.7 6
432 rdruulllddr -13.7 6
433 rdruulllddr -13.7 6
434 rdruulllddr -13.7 6
450 rdruulllddr -13.7 6
451 rdruulllddr -13.7 6
452 rdlluurrrdd -11.9 6
453 rdlluurrrdd -11.9 6
454 rdruulllddr -13.7 6
455 rdruulllddr -13.7 6
456 rdruulllddr -13.7 6
457 ddrurdruull -14.5 6
458 ddrurdruull -14.5 6
459 ddrurdruull -14.5 6
460 ddrurdruull -14.5 6
462 ddrurdruull -14.5 6
463 ddrurdruull -14.5 6
464 ddrurdruull -14.5 6
465 ddruurrddlu -13.8 6
466 ddruurrddlu -13.8 6
467 ddrurdruull -14.5 6
468 ddrurdruull -14.5 6
469 llddrurdruu -14.7 6
470 llddrurdruu -14.7 6
471 llddrurdruu -14.7 6
472 llddrurdruu -14.7 6
473 llddrurdruu -14.7 6
